SITENAME,Longitude,Latitude,species,group,RDB
1_USS Chehalis,-170.75,-14.25,Physeter macrocephalus,mammal_marine,VU
1_USS Chehalis,-170.75,-14.25,Physeter macrocephalus,mammal_marine,VU
1_USS Chehalis,-170.75,-14.25,Pseudorca crassidens,mammal_marine,NT
1_USS Chehalis,-170.75,-14.25,Pseudorca crassidens,mammal_marine,NT
2_JPnm5 Fuel Tank-1,-65.5833333333333,18.25,Balaenoptera musculus,mammal_marine,EN
2_JPnm5 Fuel Tank-1,-65.5833333333333,18.25,Balaenoptera musculus,mammal_marine,EN
2_JPnm5 Fuel Tank-1,-65.5833333333333,18.25,Physeter macrocephalus,mammal_marine,VU
2_JPnm5 Fuel Tank-1,-65.5833333333333,18.25,Physeter macrocephalus,mammal_marine,VU
2_JPnm5 Fuel Tank-1,-65.5833333333333,18.25,Pseudorca crassidens,mammal_marine,NT
2_JPnm5 Fuel Tank-1,-65.5833333333333,18.25,Pseudorca crassidens,mammal_marine,NT
2_JPnm5 Fuel Tank-1,-65.5833333333333,18.25,Tursiops aduncus,mammal_marine,NT
2_JPnm5 Fuel Tank-1,-65.5833333333333,18.25,Tursiops aduncus,mammal_marine,NT
3_Argea Prima,-66.75,17.9166666666667,Balaenoptera musculus,mammal_marine,EN
3_Argea Prima,-66.75,17.9166666666667,Balaenoptera musculus,mammal_marine,EN
3_Argea Prima,-66.75,17.9166666666667,Physeter macrocephalus,mammal_marine,VU
3_Argea Prima,-66.75,17.9166666666667,Physeter macrocephalus,mammal_marine,VU
3_Argea Prima,-66.75,17.9166666666667,Pseudorca crassidens,mammal_marine,NT
3_Argea Prima,-66.75,17.9166666666667,Pseudorca crassidens,mammal_marine,NT
3_Argea Prima,-66.75,17.9166666666667,Tursiops aduncus,mammal_marine,NT
3_Argea Prima,-66.75,17.9166666666667,Tursiops aduncus,mammal_marine,NT
4_General Colocotronis,-76.25,25.25,Balaenoptera borealis,mammal_marine,EN
4_General Colocotronis,-76.25,25.25,Balaenoptera borealis,mammal_marine,EN
4_General Colocotronis,-76.25,25.25,Hyperoodon ampullatus,mammal_marine,NT
4_General Colocotronis,-76.25,25.25,Hyperoodon ampullatus,mammal_marine,NT
4_General Colocotronis,-76.25,25.25,Physeter macrocephalus,mammal_marine,VU
4_General Colocotronis,-76.25,25.25,Physeter macrocephalus,mammal_marine,VU
4_General Colocotronis,-76.25,25.25,Pseudorca crassidens,mammal_marine,NT
